type,location,line number,code
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Advertorial/StandardSection.vue,18,"v-html=""content.sectionName ? content.sectionName : content.title"""
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Advertorial/StandardSection.vue,27,"<p v-if=""content.description"" class=""description uppercase text-2xl font-atten-medium text-black tracking-[3.6px] mb-5"" v-html=""content.description""></p>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Advertorial/V2/TestimonialCarousel.vue,23,"<h3 class=""title"" v-html=""content.sectionName""></h3>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Advertorial/V2/TestimonialCarousel.vue,24,"<h4 v-if=""content.subHeader"" class=""font-atten uppercase text-2xl desktop-sm:text-[32px] desktop-sm:leading-[30px] tracking-[5.76px] mb-10"" v-html=""content.subHeader""></h4>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Advertorial/V2/TestimonialCarousel.vue,36,"<div class=""reviewer"" v-html=""item.subTitle""></div>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Advertorial/V2/StandardSection.vue,17,"<h1 class=""title"" v-html=""content.sectionName""></h1>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Advertorial/NotGoingCrazy/Hero.vue,6,"v-html=""content.sectionName"""
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Advertorial/NotGoingCrazy/V2/Hero.vue,13,"<h1 class=""title"" v-html=""content.sectionName""></h1>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Rebrand/Components/List/IconDetailed.vue,16,"<h4 class=""h6 font-gerstner text-dark-gray"" v-html=""(element.fields as IItemFields).title""></h4>"
v_html,/home/jino/Documents/public/winona-marketing-nuxt3/components/Rebrand/Components/List/IconDetailed.vue,17,"<div class=""rb-subtitle-2 mt-5"" v-html=""(element.fields as IItemFields).description""></div>"
